ID	chviCounts_noRep.csv	cabrCounts_noRep.csv	stluCounts_noRep.csv	arjaCounts_noRep.csv	lothCounts_noRep.csv	angeCounts_noRep.csv	glsoCounts_noRep.csv	noleCounts_noRep.csv	moblCounts_noRep.csv	mawaCounts_noRep.csv	ptpaCounts_noRep.csv	deroCounts_noRep.csv
SPC1L	0	0	0	0	0	2	0	0	0	0	0	0
BIRC7	1	0	24	0	0	0	0	0	1.419	0	0	0
ABC3G	0	0	0	165.85	0	0	0	0	0	1.756	7.002	88.512
AN34A	1	1	1	0	1	0	1	3	8	0	3	0
HCAR1	1	0	2	0	0	1	0	0	1	1	4	0
CCD78	0	0	0	0	0	0	0	5.055	2.921	0	7	0
GLTL5	0	0	36	2	1	0	0	4	0	0	0	0
LEAP2	1	0	2	12	0	0	0	0	3	0	0	4
SHD	1	0	0	1	2	0	0	2	0	0	8	1
LCA5L	0	0	0	0	0	0	0	23.248	1.245	0	0	0
SYTL5	0	0	2	0	0	1	0	0	6	0	379	0
CAH10	1	1	5	0	0	0	0	4	2	0	0	0
REPS2	0	0	0	1	0	0	0	2	2.159	1	6.171	0
UDB20	0	0	0	0	1	0	1	0	0	0	7	0
SYT4	0	1	2	0	0	0	0	4	4	1	0	0
PAR6A	0	1	0	1	3	2	1	1.723	11	1	12.881	1
GSTO2	0	0	0	0	0	0	1	3.309	0	2	0	1
BIR1F	0	0	0	0	0	0	0	0	0	0	2	0
BIR1G	0	0	0	0	0	0	0	0	0	0	2	0
HEPC	1	0	0	0	4	6.782	0	0	33.108	0	8	0
TM270	1	0	0	0	0	0	0	0	0	0	0	0
AQP11	1	1	2	0	0	3	1	0	2	0	3	0
ARH38	0	1	4	0	0	0	0	0	0	0	25.752	0
TMD11	2	0	0	0	0	0	0	0	0	0	0	0
ANR35	0	77.601	0	0	13.257	251.954	151.762	137.759	35.871	0	16.413	316.107
MOK	1	0	0	0	0	0	0	2	0	0	0	0
DHB3	2	1	0	0	0	0	0	4	0	0	0	0
S6A12	1	1	1	0	0	0	0	4.519	0	0	5.706	0
STA31	0	0	0	0	0	0	0	0	13.707	0	0	0
STA32	0	0	0	0	0	0	0	0	0	0	0	0
STAT3	725.089	0	74.479	121.3	173.326	935.899	24.38	1176.245	7.221	21.962	300.469	727
VMAT1	0	0	0	0	0	0	0	0	0	0	0	0
CC173	2	0	1	1	0	0	0	3	2	0	0	1
ERIC5	0	0	2	0	0	0	0	0	0	0	0	0
MROH8	1	0	3	0	0	0	0	0	0	0	0	0
HDA1B	0	0	0	0	0	0	0	0	2	0	0	0
HBAT	0	0	3	0	0	0	0	0	0	0	0	0
VMAT2	0	0	0	0	0	0	1	0	0	0	6.851	0
5HT3D	0	0	0	0	0	0	0	0	0	0	0	0
FXL21	1	0	0	0	0	0	0	0	4	0	7	2
S13A3	0	1	0	0	4.756	0	0	0	14	0	278	0
IGSF2	0	0	4	0	6	0	0	4	2	0	0	2
KIF28	3	2	0	0	0	0	0	0	2	0	0	0
WFKN2	1	2	4	0	0	0	1	3	0	3	3	2
DCDC2	0	0	1.872	1	0	0	0	2	0	0	0	0
APCDL	0	0	0	0	4	0	0	0	0	0	0	0
SH3G2	0	1	0	1	0	0	0	3.14	3	0	4	0
P2Y10	1	1	8	1	0	0	1	0	2	0	3.456	1
CD226	1	0	2	0	0	0	0	0	0	0	0	0
TTL13	0	9.94	3	0	1.478	1	0	2.708	4	0	1	2
SIT1	1	0	2	1	0	0	0	3	0	0	3	0
CYB	2.314	2.345	1.457	31	9	2.369	3	1.1	1.603	3	1.666	7.823
UBA1L	1	4	0	0	5	5	0	3.083	0	0	151	0
VSTM5	1	0	0	1	1	0	0	15.696	1.221	0	0	0
5HT7R	1	0	1	2	0	0	0	0	0	0	0	0
K1257	1	0	0	0	0	0	0	0	0	0	0	0
DRD1	0	0	0	0	0	0	0	0	2	0	0	0
RGF1C	1	1	2	0	0	0	0	13.034	5.378	0	7	0
HXB4	0	1	1	0	0	0	1	0	1	1	2	0
PCDB8	0	0	0	0	1	1	1	3	2.858	0	0	0
HYDIN	0	0	2	1	0	0	0	3	0	0	0	0
RFPL3	1	0	0	1	0	0	0	0	0	0	0	0
K2C73	0	1	1	2	0	0	0	10.966	14.946	0	5.97	0
LMTD1	0	0	0	0	0	0	0	0	0	0	0	0
ANO3	0	0	4	0	0	0	0	0	2	0	2	1
SC5A5	0	1	0	0	0	0	0	1	1	0	0	0
HPLN4	1	0	0	0	0	0	1	0	6.654	0	0	0
PAX3A	0	0	0	2	0	0	0	0	0	0	0	0
PAX3	2	1	4	2	0	1	0	1	2	0	0	2
GALR2	1	0	2	0	0	0	0	0	0	0	0	0
CCD30	2	0	1.554	0	1	0	0	1	11	1	2	0
GSTA5	1	0	0	0	0	0	145.192	0	0	0	0	2.879
SCN9A	0	0	1	0	0	0	2	4	1	0	0	2
PSPN	1	0	0	0	0	0	2	0	0	0	0	0
CLRN3	0	1	0	0	0	0	0	0	1	0	0	0
KIF27	1	0	3	0	2	3	1	2	3.378	0	6	1.439
NRSN1	1	43.112	3.731	0	638.936	60.95	0	28	0	1	3	0
NTRK3	1	1	0	0	0	0	1	0	3	0	18	1
OOEP	1	0	0	0	0	0	3	0	0	0	0	0
HPLN2	1	0	0	0	1	1.71	2	4	2	0	0	0
CLM2	1	0	1	0	0	0	0	0	0	0	0	0
DOCK3	0	1	3	0	0	0	0	3	0	1	0	4
THMS2	1	0	3	1	1	1	2	0	3	0	4	0
RET5	2	6	10	0	0	0	0	3	0	0	0	0
BLML	1	0	0	1	0	0	0	2	0	0	0	0
K2C72	1	0	2	0	0	0	0	1	1	0	0	0
CPLX2	1	1.018	3	0	0	0	0	0	57	0	4	0
EI3EA	0	0	0	0	0	0	0	2	0	0	84.714	0
EIF3E	159.341	2275.702	2753.799	532.479	2592.532	138	2316.135	3597.797	4	1614.434	3.002	2.413
ZMY10	0	1	1	0	0	0	0	8	1.227	0	0	2.276
ZN536	0	0	1	1	2	0	0	0	2	0	0	0
F222A	0	1	6	3	1	1	0	0	2	3	4	2
TSHR	0	1	5	0	0	0	0	0	2	0	5	0
SC6A3	0	0	2	0	0	0	0	0	0	0	0	0
DCD2B	1	0	0	0	0	0	0	1	1	1	0	1
TM11F	0	1	5.163	0	0	0	1	6	3.61	3	4	1.133
ACT10	6.147	7.446	374.695	0	0	0	0	0	1.853	0	0	0
ACT11	0	0	0	0	0	0	0	0	1	0	0	0
ACT12	0	0	0	0	0	0	0	1	1	0	0	0
ACT1	2.2	390	374.695	2	3110.547	16.943	38.115	11.175	0	1601.354	0	5.082
ACT22	6.147	7.446	374.695	0	0	0	0	0	1.853	0	0	0
ACT23	6.147	7.446	374.695	0	0	0	0	0	1.853	0	0	0
ACT2	60	1874.106	4.649	55.449	8.184	867.937	38.115	439.966	1.599	1601.354	10.729	41
ACT3A	2.2	7.446	374.695	2	1	1	38.115	11.175	4	1601.354	3	5.082
ACT3B	2.2	7.446	374.695	2	1	1	38.115	11.175	4	1601.354	3	5.082
ACT3	2.2	390	374.695	55.449	8.184	867.937	38.115	0	1.599	1601.354	0	2.767
ACT4	2.2	7.446	374.695	2	1	1	38.115	11.175	0	1601.354	3	5.082
ACT5C	2.2	7.446	374.695	2	1	1	38.115	11.175	4	1601.354	3	5.082
ACT5	191.697	7.446	374.695	2.393	1.581	848.789	38.115	2.048	79.221	1601.354	494.795	141.996
ACT8	191.697	7.446	374.695	0	1.581	848.789	38.115	765.645	0	1601.354	494.795	141.996
ACT9	0	0	0	0	0	0	0	0	0	0	0	0
