ID	chviCounts.csv	cabrCounts.csv	stluCounts.csv	arjaCounts.csv	lothCounts.csv	angeCounts.csv	glsoCounts.csv	noleCounts.csv	moblCounts.csv	mawaCounts.csv	ptpaCounts.csv	deroCounts.csv
sp|Q9H0A9|SPC1L_HUMAN	0.0	0	0	0	0	2.0	0	0	0	0	0	0
sp|Q96CA5|BIRC7_HUMAN	1.0	1.0	0	0	0	0	0	0	1.419	0	0	0
sp|Q694B9|ABC3G_SAGLB	0.0	0	0	0	0	0	0	0	0	0	0	0
sp|Q69YU3|AN34A_HUMAN	1.0	1.0	1.0	0	1.0	0.0	1.0	12.735	8.0	0.0	3.0	15.759
sp|Q9BXC0|HCAR1_HUMAN	1.0	0.0	2.0	0.0	0	1.0	0.0	0	1.0	0	4.0	0
sp|D3Z5T1|CCD78_MOUSE	0.0	0	0	0	0	0	0	0	28.079	0	7.0	0.0
sp|Q95JX4|GLTL5_MACFA	0.0	0	36.0	1.0	1.0	0	0	0	0	0.0	0	0
sp|Q969E1|LEAP2_HUMAN	1.0	0	2.0	0	0	0	0	0	0	0	0	4.0
sp|Q95M25|LEAP2_MACMU	1.0	0	2.0	12.0	0	0	0	0	0	0	0	0
sp|Q91V13|LEAP2_MOUSE	1.0	0	0	0	0	0	0	0	0	0	0	0
sp|Q96IW2|SHD_HUMAN	1.0	0	0	0.0	2.0	0	0.0	2.0	0	0.0	8.0	1.0
sp|A7E3D8|LCA5L_BOVIN	0.0	2.0	0	0	0	0	0	0.0	5.755	0	0	0
sp|Q8TDW5|SYTL5_HUMAN	0.0	0.0	2.0	0	0.0	1.0	0.0	0	6.0	0	379.0	0.0
sp|Q9NS85|CAH10_HUMAN	1.0	1.0	5.0	0.0	0	0	0	4.0	2.0	0	0	0
sp|Q9N085|CAH10_MACFA	1.0	1.0	5.0	0.0	0	0	0	4.0	2.0	0	0	0
sp|P61215|CAH10_MOUSE	1.0	1.0	5.0	0.0	0	0	0	4.0	2.0	0	0	0
sp|Q5R4U0|CAH10_PONAB	1.0	1.0	5.0	0.0	0	0	0	4.0	2.0	0	0	0
sp|Q8NFH8|REPS2_HUMAN	0.0	0.0	0	1.0	0.0	0	0	2.0	2.159	1.0	6.171	0.0
sp|O77649|UDB20_MACFA	0.0	0	0	0.0	1.0	0	1.0	0	0	0	7.0	0
sp|Q9H2B2|SYT4_HUMAN	0.0	1.0	2.0	0.0	0	0.0	0.0	4.0	4.0	1.0	0	0
sp|Q9NPB6|PAR6A_HUMAN	0.0	1.0	0	1.0	3.0	2.0	1.0	1.723	11.0	1.0	12.881	1.0
sp|Q6AXV9|GSTO2_RAT	0.0	0	0	0	0	0	0	2.691	0	0	0	0.0
sp|Q9JIB6|BIR1F_MOUSE	0.0	0.0	0	0	0	0	0	0	0	0	2.0	0
sp|Q9JIB3|BIR1G_MOUSE	0.0	0.0	0	0	0.0	0	0	0	0	0	2.0	0
sp|Q9UH03|SEPT3_HUMAN	0.0	1.0	3.0	0	0.0	0	1.0	2.0	0	0	0	0.0
sp|Q9Z1S5|SEPT3_MOUSE	0.0	1.0	2.0	1.0	4.0	0.0	1.0	2.0	0	0	0	1.0
sp|Q9WU34|SEPT3_RAT	0.0	0	3.0	0	0	0	1.0	2.0	0	1.0	0	1.0
sp|Q8MJ80|HEPC_PIG	1.0	0.0	0	0	0	0	0	0	0	0	0	0
sp|Q6UE05|TM270_HUMAN	1.0	0	0	0	0	0	0	0	0	0	0	0
sp|F6S3G9|AQP11_HORSE	1.0	1.0	2.0	0.0	0.0	3.0	0	0	0	0	3.0	2.0
sp|Q9NXL2|ARH38_HUMAN	0.0	1.0	4.0	0.0	0	0	0.0	0	0	0.0	25.752	0
sp|Q80VK6|ARH38_MOUSE	0.0	0	0	0	0	0	0	0	0	2.0	0	0
sp|P27869|TMD11_CANLF	2.0	0	0	0	0	0	0	0	0	0	0	0
sp|Q8N283|ANR35_HUMAN	0.0	77.601	0.0	0	13.257	251.954	151.762	0.0	35.871	0.0	16.413	0.0
