	Chiroderma_villosum	Carollia_brevicauda	Sturnira_ludovici	Artibeus_jamaicensis	Hsunycteris_thomasi	Anoura_geoffroyi	Glossophaga_soricina	Noctilio_leporinus	Mormoops_blainvillei	Macrotus_waterhousi	Pteronotus_pusillus	Desmodus_rotundus
sp|P07744|K2C4_MOUSE	2.10643049	16.77016173	16.83047164	15.12057791	14.20087636	4.360790706	16.71777664	2.246902926	2.723479219	9.750613207	2.150589549	2.217952165
sp|P08779|K1C16_HUMAN	2.373284723	1.443088467	1.443088467	14.81115284	3.382795688	12.83985489	2.974944541	17.32239504	2.499418	14.72879557	4.531736069	3.103472323
sp|P02163|MYG_ROUAE	2.373284723	2.707543684	8.250429176	13.77432827	1.443088467	14.44521787	1.443088467	2.802555411	1.443088467	14.62223144	1.443088467	14.53913739
sp|Q4KYY3|G3P_SPECI	2.573071879	15.07158344	16.00341096	15.43500704	14.00626143	1.443088467	11.6934605	3.553012967	4.104340843	8.55686144	2.150589549	14.9444324
sp|Q03265|ATPA_MOUSE	12.04141871	12.99320962	12.99232823	14.38750383	2.098093497	2.703218206	1.443088467	2.246902926	1.443088467	13.16161734	13.85196033	13.36572529
sp|P04075|ALDOA_HUMAN	10.1875094	14.60042013	15.49033052	1.443088467	13.69919726	11.70461861	10.41704122	2.566050219	3.813108572	1.443088467	2.434103142	15.07649257
sp|P13646|K1C13_HUMAN	2.10643049	2.486017372	3.299269523	10.65411915	13.94572246	3.858343666	2.784115954	1.443088467	2.198175254	14.55641935	1.443088467	15.82336988
sp|Q95140|RLA0_BOVIN	13.87298398	1.443088467	13.55298304	13.2677725	12.75735184	13.98228753	11.5921561	2.995590903	2.723479219	1.443088467	2.819512216	13.91613667
sp|P02153|MYG_SAPAP	3.404660766	14.43856995	8.250429176	13.77432827	13.42819423	14.44521787	5.458188641	2.246902926	2.499418	1.443088467	14.86427013	14.53913739
sp|Q5REL2|ANXA1_PONAB	8.330536894	14.33568115	14.3274706	1.443088467	11.3726312	14.51323388	11.73321205	2.995590903	2.906948104	14.99637992	1.443088467	14.6386868
