	Chiroderma_villosum	Carollia_brevicauda	Sturnira_ludovici	Artibeus_jamaicensis	Hsunycteris_thomasi	Anoura_geoffroyi	Glossophaga_soricina	Noctilio_leporinus	Mormoops_blainvillei	Macrotus_waterhousi	Pteronotus_pusillus	Desmodus_rotundus
G3P	2.512782145	15.1035804	16.03460752	15.50229882	14.05924917	2.868622433	3.224321626	3.643610544	3.998204437	2.197285084	5.452492666	15.08167769
K2C4	2.968667106	16.80217597	2.989807412	5.695629589	14.25387147	2.437007775	16.7188624	1.307677104	3.556653711	9.699813521	3.339115988	10.31492383
EF1A1	13.91124924	3.266693816	15.99407859	5.777823454	9.678539201	15.5850948	14.4684226	3.039919248	4.271048195	4.187022962	1.307677104	15.24863992
MYG	14.27528326	2.6428215	8.278849599	13.84156987	13.48115321	14.5606549	2.13748346	2.828232304	2.883909261	14.5719343	2.798538486	14.67636878
CALMS	1.307677104	1.307677104	1.307677104	1.307677104	1.307677104	13.01160914	1.307677104	1.307677104	13.77500563	1.307677104	9.861567799	14.21161331
S10A8	2.300774891	2.09646585	11.26044902	1.307677104	13.26333539	14.793448	14.35320823	14.20730133	3.328738606	13.90044522	5.301681847	3.521828922
K2C6B	14.0902843	3.266693816	14.68246207	13.55736765	12.27907723	4.184200037	2.907087382	17.79587218	4.071618283	13.38957637	2.384258549	7.802021677
ANXA1	2.300774891	2.09646585	7.470193272	1.307677104	11.4253153	14.6286735	11.73409648	3.376987041	3.197562257	14.94608684	3.339115988	14.77592198
K1C16	16.1704676	12.57628312	13.45147022	14.87843207	3.360272071	9.10731663	8.99911481	17.53644975	2.448549528	13.45368913	4.596129042	3.114599165
COX1	4.834226918	3.266693816	2.406119777	3.137922601	16.74539385	2.868622433	15.36505822	3.039919248	7.412774207	9.079949857	15.05242983	4.744828434
K2C6A	14.0902843	2.832942904	3.758320618	3.994210137	12.27907723	4.184200037	11.2867187	18.3055109	4.071618283	12.86472964	4.075379218	12.90936514
NU5M	14.32955167	2.09646585	2.093538931	3.488873829	2.945727097	3.53659792	3.954058596	5.425780716	2.448549528	15.45879278	2.384258549	14.81151308
S10A9	2.512782145	2.410119678	8.721141504	14.11033447	14.20527418	3.034333352	2.709086655	3.643610544	2.448549528	14.87062293	2.612130331	11.3166267
TCTP	2.01669322	13.0253887	14.49607359	12.91473422	13.65674417	13.84330011	2.466074274	8.145786798	2.448549528	3.191789112	2.612130331	7.8134021
MYH4	7.107358634	14.68993616	5.433096587	2.642303456	1.307677104	15.58883701	1.307677104	5.980124902	2.688353455	14.55811527	9.734085831	5.046172568
HS90B	1.307677104	13.73700709	2.827627227	13.54735492	12.86504862	8.076007398	12.92703328	9.401003451	2.124622121	2.804945452	2.612130331	2.157288903
ALDOA	10.24698408	14.63240745	15.52152152	1.307677104	13.75217116	11.81973679	10.4176164	2.211898723	4.071618283	11.24307518	4.459156613	15.21374161
ADT1	14.26275724	13.35029284	2.406119777	12.65304535	12.33778982	11.40917199	13.81041417	2.56710012	2.688353455	11.79940524	2.077554067	11.82097825
RL5	12.26634966	9.576569936	2.638077196	1.307677104	10.22503511	12.53181441	2.907087382	14.36288659	13.63762016	1.307677104	13.25834889	7.984243216
DESM	1.307677104	1.307677104	5.407649797	2.994953364	10.04045022	13.18516636	2.13748346	2.211898723	6.079594263	13.39505096	14.38373297	10.37950695
EF2	14.42474042	13.41204038	14.85118144	15.16429341	13.03288305	13.51202504	11.25128771	4.5717876	3.447681963	2.547311507	2.798538486	10.66114627
K1C24	8.358595507	7.270116263	2.093538931	8.923306101	15.91281261	16.74379747	2.907087382	3.219779621	3.197562257	7.895246394	1.307677104	6.205331563
AL3A1	4.483311039	13.6513943	12.22082232	12.81825547	12.40148025	5.259458472	9.208614703	16.53448079	2.124622121	13.55474721	4.975594375	2.493024408
FRIH	5.51372381	2.6428215	2.827627227	12.57131733	11.01207238	13.12148655	13.30907146	3.039919248	2.448549528	12.76738125	4.760273389	14.30639479
HSP7C	14.06159417	13.59890648	13.46065196	2.642303456	12.45246327	12.93650175	13.32572698	14.33306892	2.124622121	13.40606732	2.958179789	13.65550774
PYGM	2.68689769	11.70126471	9.130672019	14.08884411	12.01447486	15.23005073	12.40364825	2.828232304	3.447681963	13.89171194	3.098691955	12.38624021
TXNIP	12.07197106	12.49973863	2.406119777	13.27634321	12.3819473	10.40586474	12.26889617	1.307677104	3.050922541	2.547311507	12.88420469	12.29456836
EF1B	1.307677104	11.359024	11.5020312	11.25732523	2.006072899	7.304868916	3.076060543	14.26299182	2.448549528	11.66947426	3.796326033	1.307677104
EF1G	12.37239551	13.07239575	2.827627227	3.137922601	12.50596694	13.01786862	1.307677104	2.56710012	2.688353455	3.014006449	2.798538486	7.863531194
RL7	1.307677104	11.998696	12.96703491	11.91325055	11.27466868	2.116159092	1.307677104	14.37077603	12.52341121	10.06291419	12.69960211	11.98750898
K2C6C	6.156963555	3.266693816	14.68246207	13.55736765	14.3772189	14.53789566	11.93199575	3.039919248	4.071618283	13.23782132	4.075379218	7.802021677
GELS	13.55377226	14.35857291	6.226577764	11.84652145	3.170297345	12.50552651	3.871190418	15.39600754	14.68491052	14.04201653	3.631860602	14.57701603
K2C78	12.19061913	13.14644382	14.59339661	12.31564971	13.39100291	13.07368213	10.66803647	3.219779621	3.750908681	14.09511557	2.612130331	3.265313205
RL4	1.307677104	12.91153526	13.50018403	10.38854888	1.307677104	3.53659792	8.451458789	3.039919248	3.998204437	12.92903892	6.445716297	13.19957652
RL6	7.539862976	1.307677104	12.9826849	12.09095047	12.29240813	12.25938716	12.60283764	11.76115388	1.307677104	3.191789112	3.224664234	11.95961525
K2C3	2.512782145	1.307677104	4.555285181	7.545593578	13.98913569	14.12257104	1.307677104	12.10307626	5.853807616	4.998170181	3.098691955	1.307677104
G6PI	11.50610668	7.49308695	3.260207739	12.09345492	2.667274104	1.307677104	12.86685177	3.039919248	13.43728323	8.819539516	13.08786392	3.114599165
K1C13	2.01669322	2.410119678	3.482625525	10.72079677	13.99870771	3.898533689	2.709086655	2.56710012	2.124622121	14.50612137	4.075379218	9.457358118
MUC5B	2.01669322	5.310783082	2.827627227	8.941214144	1.307677104	1.307677104	2.907087382	3.517055674	3.050922541	14.7870323	13.6097556	1.307677104
RL13A	12.65924063	12.17376674	3.260207739	3.488873829	11.76394209	1.307677104	11.622591	3.643610544	2.124622121	12.84429264	3.631860602	4.158809015
CATD	1.307677104	12.17542392	12.65206145	11.46731422	10.98580187	10.08185443	12.38310691	3.219779621	3.050922541	2.197285084	4.137113892	12.8866519
GLNA	13.96562061	2.410119678	12.73724371	9.631603689	10.95818646	12.20092585	12.96519602	3.039919248	14.53474229	15.11218802	3.796326033	14.19124577
RL21	10.87285749	2.09646585	1.307677104	2.096146189	9.262578106	9.325774041	11.13837701	13.63024505	12.83965204	2.804945452	3.631860602	3.265313205
CRNN	1.307677104	12.25885158	4.458617828	10.66934945	10.74202589	12.12898547	9.787501776	1.307677104	3.050922541	12.61061508	3.098691955	12.27515366
RS6	11.77074838	3.680031809	1.307677104	3.679221374	11.87761813	11.62062612	11.84190577	3.039919248	13.8394056	12.09969572	3.224664234	6.205331563
ADH7	11.10153121	11.86835594	11.41202836	6.880645801	10.68147774	1.307677104	11.24779616	1.307677104	3.050922541	13.78901862	3.224664234	11.88843515
RS23	12.16670057	8.429561513	12.54871887	2.832362516	1.307677104	9.87429011	10.53439949	13.68585694	2.448549528	3.347297238	2.958179789	11.38304561
NLRC3	11.37639174	13.58338683	16.06206121	8.646008555	13.78125397	14.48997067	12.18113922	2.828232304	14.63567766	13.27985663	14.92957338	2.157288903
